epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,5076.16,0.63151,0.6833,0.00205,0.76374,0.75445,0.81875,0.68341,0.65795,0.76349,0.00385,2.674e-05,2.674e-05,2.674e-05
150,5110.13,0.65126,0.71383,0.00211,0.82453,0.70668,0.81899,0.68447,0.65741,0.76858,0.00387,2.6245e-05,2.6245e-05,2.6245e-05
151,5144.03,0.65359,0.73416,0.00205,0.78378,0.74305,0.8155,0.68048,0.64809,0.77224,0.00378,2.575e-05,2.575e-05,2.575e-05
152,5178.03,0.64288,0.70092,0.00209,0.78448,0.74788,0.8182,0.68267,0.65228,0.773,0.00376,2.5255e-05,2.5255e-05,2.5255e-05
153,5211.97,0.67661,0.73234,0.00206,0.78386,0.74878,0.81983,0.68116,0.6562,0.76102,0.00382,2.476e-05,2.476e-05,2.476e-05
154,5245.99,0.63829,0.73625,0.00202,0.78365,0.73967,0.82183,0.68593,0.66009,0.76001,0.00383,2.4265e-05,2.4265e-05,2.4265e-05
155,5279.91,0.66196,0.73301,0.00207,0.76347,0.76173,0.82093,0.6831,0.65592,0.75793,0.00382,2.377e-05,2.377e-05,2.377e-05
156,5313.86,0.65392,0.71833,0.00206,0.77795,0.75004,0.82246,0.68718,0.65273,0.76284,0.00384,2.3275e-05,2.3275e-05,2.3275e-05
157,5347.84,0.65175,0.71675,0.002,0.77923,0.74371,0.82007,0.6843,0.65575,0.76179,0.00384,2.278e-05,2.278e-05,2.278e-05
158,5381.77,0.63537,0.70502,0.00193,0.77108,0.75432,0.8208,0.68619,0.6548,0.76251,0.00384,2.2285e-05,2.2285e-05,2.2285e-05
159,5415.72,0.62374,0.71037,0.00197,0.76253,0.76117,0.82166,0.68357,0.65816,0.75867,0.00384,2.179e-05,2.179e-05,2.179e-05
160,5449.7,0.65316,0.69995,0.00197,0.77105,0.76595,0.82186,0.68459,0.66277,0.75351,0.00385,2.1295e-05,2.1295e-05,2.1295e-05
161,5483.66,0.62378,0.73819,0.00201,0.76861,0.77244,0.82217,0.68422,0.65934,0.75307,0.00383,2.08e-05,2.08e-05,2.08e-05
162,5517.6,0.65001,0.74623,0.00215,0.78367,0.76042,0.82286,0.6864,0.66134,0.74656,0.00385,2.0305e-05,2.0305e-05,2.0305e-05
163,5551.54,0.64568,0.71449,0.00198,0.77933,0.7695,0.82375,0.68586,0.66419,0.74779,0.00384,1.981e-05,1.981e-05,1.981e-05
164,5585.49,0.63732,0.72864,0.00198,0.78363,0.76765,0.82351,0.68528,0.65663,0.74965,0.00383,1.9315e-05,1.9315e-05,1.9315e-05
165,5619.41,0.61829,0.69624,0.00198,0.77986,0.76883,0.82318,0.68591,0.65761,0.74925,0.00384,1.882e-05,1.882e-05,1.882e-05
166,5653.32,0.62164,0.70698,0.00193,0.77648,0.76011,0.82261,0.68711,0.65875,0.74791,0.00384,1.8325e-05,1.8325e-05,1.8325e-05
167,5687.25,0.63511,0.71817,0.00198,0.76033,0.76227,0.82345,0.68843,0.6531,0.74903,0.00382,1.783e-05,1.783e-05,1.783e-05
