epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,6384.99,0.4865,0.2548,0.00144,0.90042,0.88594,0.92843,0.76023,0.67536,0.51458,0.00417,0.0001684,0.0001684,0.0001684
170,6418.32,0.49318,0.26832,0.00148,0.8844,0.88093,0.92204,0.75498,0.67154,0.51982,0.00417,0.00016345,0.00016345,0.00016345
171,6451.59,0.49842,0.28391,0.00141,0.896,0.87779,0.92234,0.7527,0.67437,0.51488,0.00415,0.0001585,0.0001585,0.0001585
172,6484.91,0.50102,0.26435,0.00139,0.90041,0.88532,0.92672,0.75499,0.67732,0.52889,0.00417,0.00015355,0.00015355,0.00015355
173,6518.22,0.4812,0.25346,0.00145,0.88728,0.89469,0.92654,0.75707,0.68418,0.52437,0.00427,0.0001486,0.0001486,0.0001486
174,6551.49,0.48142,0.26151,0.00138,0.92367,0.85411,0.92142,0.75293,0.67648,0.52488,0.00421,0.00014365,0.00014365,0.00014365
175,6584.81,0.49191,0.26856,0.00141,0.91041,0.86961,0.9275,0.75251,0.68279,0.52419,0.00421,0.0001387,0.0001387,0.0001387
176,6618.1,0.49441,0.26608,0.00142,0.8695,0.90149,0.92745,0.75193,0.67687,0.52794,0.00416,0.00013375,0.00013375,0.00013375
177,6651.38,0.48265,0.25601,0.00141,0.89365,0.89185,0.92762,0.75345,0.67896,0.51753,0.00417,0.0001288,0.0001288,0.0001288
178,6684.68,0.47755,0.25944,0.00141,0.9293,0.85457,0.92818,0.75389,0.68063,0.52139,0.00416,0.00012385,0.00012385,0.00012385
